Name,Domain,Status,Notes,vteDisinformation and misinformation,Types,Books and documentaries,Examples,Health,Operations and events by country,Canada,China,Czechoslovakia,Opposition
American News,americannews.com,Defunct,"Published a false story claiming actor Denzel Washington endorsed Donald Trump for U.S. president. The fictional headline led to thousands of people sharing it on Facebook, a prominent example of fake news spreading on the social network prior to the 2016 presidential election.",,,,,,,,,,
Conservative 101,conservative101.com,,Falsely claimed that the White House fired Kellyanne Conway.,,,,,,,,,,
Democratic Review,DemocraticReview.com,Defunct,"Owned by American Review LLC of Miami, the same company that owns American News (americannews.com), Conservative 101 and Liberal Society.",,,,,,,,,,
Liberal Society,LiberalSociety.com,Defunct,"Published a fake direct quote attributed to Obama, Falsely claimed that the White House fired Kellyanne Conway.",,,,,,,,,,
Conservative Beaver,conservativebeaver.com,Defunct,"Published false anti-vaccination claims related to Pfizer, leading to Pfizer filing a petition to compel the site host to reveal the site owner's identity.",,,,,,,,,,
The Red Panther,theredpanther.com,Defunct,"Former name of Toronto Today.
As of 2024, is now an e-commerce site.",,,,,,,,,,
Toronto99.com,Toronto99.com,Active,Had the same Google Adsense code as The Conservative Beaver.,,,,,,,,,,
Toronto Today,torontotoday.net,Defunct,Had the same Google Adsense code as The Conservative Beaver.,,,,,,,,,,
Vancouver Times,vancouvertimes.org,Defunct,Likely shares the same site owner as the Conservative Beaver and Toronto Today.,,,,,,,,,,
Conservative Frontline,conservativefrontline.com,,,,,,,,,,,,
Denver Guardian,denverguardian.com,,,,,,,,,,,,
DrudgeReport.com.co,DrudgeReport.com.co,,Mimics the name of the Drudge Report.,,,,,,,,,,
United Media Publishing,unitedmediapublishing.com,,,,,,,,,,,,
usatoday.com.co,usatoday.com.co,Defunct,Falsely reports celebrity appearances and filming locations in random local towns,,,,,,,,,,
washingtonpost.com.co,washingtonpost.com.co,,"Originally registered by Jestin Coler. The Washington Post submitted a complaint against Coler's registration of the site with GoDaddy under the UDRP, and in 2015, an arbitral panel ruled that Coler's registration of the domain name was a form of bad-faith cybersquatting (specifically, typosquatting), ""through a website that competes with Complainant through the use of fake news. ... The fake news content misleads readers and serves as 'click bait' to drive readers to other sites, or to share the fake news content with others on social networking websites, to generate advertising revenue.""",,,,,,,,,,
ABCnews.com.co,ABCnews.com.co,Defunct,"Owned by Paul Horner. Mimics the URL, design and logo of ABC News (owned by Disney–ABC Television Group).",,,,,,,,,,
CBSnews.com.co,CBSnews.com.co,Defunct,"Mimics the URL, design and logo of CBS News.",,,,,,,,,,
christianfreedommovement.com,christianfreedommovement.com,Defunct,,,,,,,,,,,
cnn.com.de,cnn.com.de,Defunct,Impostor site of CNN.,,,,,,,,,,
donaldjtrump.com.co,donaldjtrump.com.co,,,,,,,,,,,,
isissingles.com,isissingles.com,Defunct,,,,,,,,,,,
iywib.com,iywib.com,Defunct,,,,,,,,,,,
keepdonaldtrump.com,keepdonaldtrump.com,Defunct,,,,,,,,,,,
makeredhatswearableagain.com,makeredhatswearableagain.com,Defunct,,,,,,,,,,,
mericaland.com,mericaland.com,Defunct,,,,,,,,,,,
microsoftsite.com,microsoftsite.com,Defunct,,,,,,,,,,,
My Phoenix Daily,myphoenixdaily.com,,,,,,,,,,,,
nationalgeographic.com.co,nationalgeographic.com.co,,Spoof of National Geographic.,,,,,,,,,,
nationalreview.biz,nationalreview.biz,Defunct,Spoof of National Review.,,,,,,,,,,
NBC.com.co,NBC.com.co,,Imitates NBC.,,,,,,,,,,
NBCNews.com.co,NBCNews.com.co,Defunct,"Mimics the URL, design and logo of NBC News.",,,,,,,,,,
News Examiner,newsexaminer.net,,"Started in 2015 by Paul Horner, the lead writer of the National Report. This website has been known to mix real news along with its fake news.",,,,,,,,,,
paulhorner.org,paulhorner.org,Defunct,,,,,,,,,,,
snopes.com.co,snopes.com.co,Defunct,Imposter site of Snopes.,,,,,,,,,,
St George Gazette,stgeorgegazette.com,Defunct,,,,,,,,,,,
superofficialnews.com,superofficialnews.com,Defunct,,,,,,,,,,,
thephoenixnewtimes.com,thephoenixnewtimes.com,,,,,,,,,,,,
trumptized.com,trumptized.com,,,,,,,,,,,,
16WMPO,16WMPO.com,Defunct,"Impostor site, per PolitiFact.
Likely part of the same network as WTOE 5 News.",,,,,,,,,,
AlexJones.xyz,AlexJones.xyz,,Part of the same network as WTOE 5 News.,,,,,,,,,,
alynews.com,alynews.com,,"Part of a network that posted a false story that there was a sequel to the movie Step Brothers in the works in 2016.
Part of the same network as WTOE 5 News.",,,,,,,,,,
channel16news.com,channel16news.com,,Part of the same network as WTOE 5 News.,,,,,,,,,,
channel17news.com,channel17news.com,,Likely part of the same network as WTOE 5 News.,,,,,,,,,,
Channel 18 News,Channel18News.com,,"Impostor site, per PolitiFact.
Likely part of the same network as WTOE 5 News.",,,,,,,,,,
clancyreport.com,clancyreport.com,,Part of the same network as WTOE 5 News.,,,,,,,,,,
Daily News 10,DailyNews10.com,,"Impostor site, per PolitiFact.
Likely part of the same network as WTOE 5 News.",,,,,,,,,,
Daily News 11,dailynews11.com,,Part of the same network as WTOE 5 News.,,,,,,,,,,
Daily News 5,DailyNews5.com,,"Impostor site, per PolitiFact.
Part of the same network as WTOE 5 News.",,,,,,,,,,
FoxBusiness.xyz,FoxBusiness.xyz,,Part of the same network as WTOE 5 News.,,,,,,,,,,
Headline Brief,headlinebrief.com,,Part of the same network as WTOE 5 News.,,,,,,,,,,
km8news.com,km8news.com,,Part of the same network as WTOE 5 News.,,,,,,,,,,
KMT 11 News,kmt11.com,Defunct,"Falsely reports celebrity appearances and filming locations in random local towns. Before the website went down, it referred to itself as a ""fantasy news website"".[36][37]
Likely part of the same network as WTOE 5 News.",,,,,,,,,,
knp7.com,knp7.com,,Part of the same network as WTOE 5 News.,,,,,,,,,,
kspm33.com,kspm33.com,,Part of the same network as WTOE 5 News.,,,,,,,,,,
KUPR7,kupr7.com,,Likely part of the same network as WTOE 5 News.,,,,,,,,,,
ky6news.com,ky6news.com,,Part of the same network as WTOE 5 News.,,,,,,,,,,
KY12News.com,KY12News.com,,"Impostor site, per PolitiFact.
Likely part of the same network as WTOE 5 News.",,,,,,,,,,
KYPO6,kypo6.com,Defunct,Part of the same network as WTOE 5 News.,,,,,,,,,,
Local 31 News,Local31News.com,,"Impostor site, per PolitiFact.
Likely part of the same network as WTOE 5 News.",,,,,,,,,,
localnews33.com,localnews33.com,,Part of the same network as alynews.com,,,,,,,,,,
lopezreport.com,lopezreport.com,,Part of the same network as WTOE 5 News.,,,,,,,,,,
maywoodpost.com,maywoodpost.com,,Likely part of the same network as WTOE 5 News.,,,,,,,,,,
mbynews.com,mbynews.com,,Part of the same network as alynews.com,,,,,,,,,,
McKenzie Post,mckenziepost.com,,Part of the same network as WTOE 5 News.,,,,,,,,,,
NewsDaily12.com,NewsDaily12.com,,"Impostor site, per PolitiFact.
Likely part of the same network as WTOE 5 News.",,,,,,,,,,
newsdaily27.com,newsdaily27.com,,Part of the same network as WTOE 5 News.,,,,,,,,,,
News Now 11,newsnow11.com,,Likely part of the same network as WTOE 5 News.,,,,,,,,,,
oreillypost.com,oreillypost.com,,Part of the same network as WTOE 5 News.,,,,,,,,,,
WBN 12 News,wbn12.com,,Likely part of the same network as WTOE 5 News.,,,,,,,,,,
wcpm3.com,wcpm3.com,,Part of the same network as WTOE 5 News.,,,,,,,,,,
wleb21.com,wleb21.com,,Part of the same network as WTOE 5 News.,,,,,,,,,,
WRPT 16 News,wrpt16.com,,Part of the same network as WTOE 5 News.,,,,,,,,,,
WTOE 5 News,wtoe5news.com,Defunct,Original source of false claim that Pope Francis had endorsed Donald Trump in 2016.,,,,,,,,,,
Neon Nettle,neonnettle.com,,"Per FactCheck.org and PolitiFact.
Stated by Snopes to be ""interrelated"" with NewsPunch and Your News Wire.",,,,,,,,,,
Newspunch,Newspunch.com,,Alternative name for YourNewsWire.,,,,,,,,,,
The People's Voice (formerly NewsPunch and Your News Wire),thepeoplesvoice.tv,Active,"Founded by Sean Adl-Tabatabai and Sinclair Treadway in 2014. It has published fake stories, such as ""claims that the Queen had threatened to abdicate if the UK voted against Brexit."" Its name was changed to NewsPunch in 2018 and The People's Voice in 2023.",,,,,,,,,,
Your News Wire,yournewswire.com,,Former name for The People's Voice.,,,,,,,,,,
ABCNews1.us,ABCNews1.us,,Same owner as AJUAnews.,,,,,,,,,,
African News Updates,africannewupsdate.com,,"Same owner as News Updates South Africa. Published a false story about election fraud during the 2016 municipal elections in South Africa, which led to the Electoral Commission of South Africa filing a criminal complaint against the site owner.",,,,,,,,,,
AJUAnews,AJUAnews.com,,Plagiarized content from The Last Line of Defense. Reportedly owned by individual based in Pakistan.,,,,,,,,,,
ALNewsNetwork.press,ALNewsNetwork.press,,Same owner as AJUAnews.,,,,,,,,,,
America Talks,Americatalks.com,,Per FactCheck.org.,,,,,,,,,,
America's Freedom Fighters,Americasfreedomfighters.com,,Per FactCheck.org.,,,,,,,,,,
Banned Information,BannedInformation.com,,Per FactCheck.org.,,,,,,,,,,
Dos Palos News,dospalosnews.com,,Same owner as AJUAnews.,,,,,,,,,,
FB News Cycle,Fbnewscycle.com,,"Per FactCheck.org.
Same owner as Banned Information.",,,,,,,,,,
HealthFacts.pro,HealthFacts.pro,,Same owner as AJUAnews.,,,,,,,,,,
Hot Global News,hotglobalnews.com,,,,,,,,,,,,
ILoveQuilting.pro,ILoveQuilting.pro,,Same owner as AJUAnews.,,,,,,,,,,
Leading Report,theleadingreport.com,,A website and Twitter account that promotes misinformation and conspiracy theories about COVID-19 and United States politics.,,,,,,,,,,
National News Bulletin,nationalnewsbulletin.com,,Same Google Analytics ID as News Updates South Africa.,,,,,,,,,,
